Başlık;Kira Bedeli;İlan Metni;Mahalle;İlan Tarihi;Yerleştiği Kat;Kat Sayısı;Yaşı;Oda Sayısı;Genişliği;Eşya durumu;Isınma;Aidat
Kuruluş emlaktan site içi kiralık 2+1 130m2 daire;29.000 TL;"**AWM MARKETLERE OTOBÜS DOLMUŞ DURAKLARINA ÇOK YAKIN  YÜRÜME MESAFESİNDE **
**MERKEZİ KONUMDA 
**GÜVENLİKLİ SİTE İÇERİSİNDE 
**KAPALI & AÇIK OTOPARK 
**ÇOCUK OYUN PARKI 
**KAPICI VE KAPICI HİZMETİ
**YEŞİL ALANLAR 
**HER KATTA ÇÖP ŞUT 
**7/24 GÜVENLİK 

**DAİRE ÖZELLİKLERİ **

**2+1 130m2 KAPALI MUTFAK 
** GİRİŞ TE AYAKKABILIK VE PORTMANTO
**EBEVEYİN BANYOLU
** GÖMMELİ ELBİSE DOLABI 
**GENİŞ KAPALI CAM BALKONLU 

**2 ADET ARÇELİK KLİMA & 3'LÜ ANKASTRE SETİ 
*****
GAZİEMİR OTOKENT & ÇEVREYOLU OTOBANA ÇOK YAKIN 

DETAYLI BİLGİ İÇİN LÜTFEN ARAYINIZ";Mustafa Kemal;14-10-2024;Ara Kat;15 Katlı;4 Yaşında;2 + 1;/ 120 m2;Eşyalı Değil;Doğalgaz;1.250 TL
Deniz emlak dan Buca'da Yenigün mahallesinde kiralık daire;15.000 TL;Yenigün mahallesinde, çift cepheli, müstakil tadında,her kat tek daire,4 katlı bina dört dairenin olduğu binamız Buca kaymakamlık yanı, komşuluğun olduğu bölgedir, Buca SSK hastanesi, çevik 1, bankalar, Pazar,okul , AVM merkezlerine yakın değerli bir bölgededir, doğalgaz kombili, karanlık odası olmayan ferah dairemiz kiralık ...daire nin boyası Yeni yapıldı;Kozağaç;14-10-2024;4. Kat;4 Katlı;16 Yaşında;3 + 1;/ 120 m2;Eşyalı Değil;Doğalgaz;
Kiralık Buca da Yiğitler Mah.3+1 110 m2 Doğalgazlı açık otoparkı olan merkez de bir daire;20.000 TL;Kiralık Buca da Yiğitler mahallesinde 337 sokakta 3+1 Doğalgazlı 7yıllık Daire;Yiğitler;13-10-2024;Yarı Bodrum;4 Katlı;7 Yaşında;3 + 1;/ 90 m2;Eşyalı Değil;Doğalgaz;250 TL
EŞYALI, DOĞALGAZLI- KLİMALI-3 ODA 1 SALON 130 M2,LÜX DAİRE;27.500 TL;DAİRE'MİZ EFELER MAHALLESİ KOŞU YOLU CADDESİ ,HİPODROM KAPI GİRİŞİ KARŞISINDA YER ALMAKTADIR. 4 KATLI BİNANIN 2. KATINDA (3/4) .KATINDA YER ALMAKTADIR.KÖŞE GÜNEY VE BATI CEPHESİ İLE KONUMLANMIŞTIR.ÇOK MERKEZİ KONUMDA OLUP ÇARŞI, PAZAR,MARKET ,İZBAN'A ÇOK YAKINDIR.DAİRE'MİZDE 2 ADET KLİMA MEVCUTTUR.DOĞALGAZ KOMBİSİ VARDIR.3 ADET TELEVİZYON MEVCUTTUR. İLK DEFA EŞYALI OLARAK KİRAYA VERİLECEKTİR.GÖRMEK İÇİN LÜTFEN RANDEVU ALINIZ.;Efeler;14-10-2024;Ara Kat;4 Katlı;23 Yaşında;3 + 1;/ 120 m2;Eşyalı;Doğalgaz;50 TL
MARKA'DAN D.GAZLI EŞYASIZ KİRALIK DAİRE;13.000 TL;"MARKA GAYRİMENKUL’DEN 
1+1 
EŞYASIZ
DOĞALGAZLI
MERKEZİ KONUMDA 
DETAYLI BİLGİ İÇİN : Telefonu Göster";Atatürk;14-10-2024;Giriş Katı;2 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı Değil;;
SİTE İÇİ KİRALIK 3+1 145m2 ARAKAT DAİRE;34.000 TL;"DASIF KONSEPT 
KİRALIK 3+1 145m2 ARAKAT 

- Site içerisinde, - bina girişinde spor salonu

- Kameralı Güvenlik Sistemi, ve Güvenlik Görevlisi,

- Açık otopark - kapalı otopark - çocuk oyun parkuru - yürüyüş alanı,

- Peyzajlar ve yeşil alanlar

- Güvenlik kameraları – Kapıcı

- Merkezi sistem doğal gaz ( Kombi )

- Girişte vestiyer ve ayakkabılık,

- Çift asansörlü

- Çift klima ( salon - yatak odasında )

- 2 adet banyo 

- 3 lü Ankastre ( fırın - ocak - davlumbaz )

- Dairede Çöp Sistemi Mevcuttur. ( Çöp atmak için kapıcıya yada aşağıya inmeye gerek duyulmamaktadır )

- Yangın Tahliye Merdivenleri

- Merkezi Isıtma

- Merkezi Klima

-

Dasif Konsept Gediz okullara, hastanelere, alışveriş merkezlerine ve hayatın konseptini oluşturan daha bir çok yere bir adım mesafede.

OPTIMUM AVM 4,5 KM

ADM HAVALİMANI 9 KM

FUAR İZMİR 4,5 KM

GAZİEMİR MERKEZ 5,5 KM";Mustafa Kemal;14-10-2024;12. Kat;14 Katlı;3 Yaşında;3 + 1;/ 135 m2;Eşyalı Değil;Doğalgaz;1.250 TL
ADATEPE MAH.'de ''1+1'' SIFIR LÜKS KİRALIK DAİRE;14.000 TL;"İZMİR / BUCA / ADATEPE MAH.'DE ;
1+1
Klimalı
Hilton Banyo
Elektrikli Panjur
Sıfır Bina Sıfır Daire
Dairemiz Konum İtibariyle ;
Adatepe Mah.'de Olup ,
Tüm Temel İhtiyaçlarınız ve Sosyal Olanaklar Yürüme Mesafesindedir.

Detaylı Bilgi ve Randevu İçin ;
GÖRKEM SAYGIN    |    MERTCAN ÇAKIR
Telefonu Göster       |    Telefonu Göster";Adatepe;14-10-2024;Yüksek Giriş;2 Katlı;Sıfır Bina;1 + 1;/ 48 m2;Eşyalı Değil;;
SAFİR'den Kuruçeşme Mahallesinde Eşyalı Balkonlu Kiralık Daire;12.500 TL;"KURUÇEŞME MAHALLESİ
1+0 
35 M²  
EŞYALI
 BALKONLU 
 KIZ ÖĞRENCİ ÖNCELİĞİMİZDİR.
 KONUM DOĞRU İŞARETLENMİŞTİR.
   Profesyonel ve   Güleryüzlü   Ekibimizle Haftanın  7 Günü  Hizmetinizdeyiz.";Kuruçeşme;14-10-2024;2. Kat;4 Katlı;5 Yaşında;1 + 0;/ 35 m2;Eşyalı;;
BORANEM--UÇAN YOL MEVKİSİNDE LÜX 3+1 GENİŞ DAİRE;26.000 TL;"2013 YAPIMI UÇAN YOLA ÇOK AZ MESAFEDE, OLDUKÇA LÜX DAİRELERDENDİR.

ÇALIŞAN MEMUR KEFİL İSTENMEKTEDİR.

AYRINTILI BİLGİ İÇİN ARAYINIZ.";Çamlık;14-10-2024;Ara Kat;4 Katlı;11 Yaşında;3 + 1;/ 135 m2;Eşyalı Değil;Doğalgaz;100 TL
MARKA'DAN ÜÇKUYULAR MEYDANDA ASANSÖRLÜ YENİ BİNADA D.GAZLI 1+1;20.000 TL;"MARKA GAYRİMENKUL'DEN
0 BİNA
ÜÇKUYULAR MEYDANDA
ASANSÖRLÜ
YERDEN ISITMA
BALKONLU
DOĞALGAZLI
KİRALIK DAİRE
DETAYLI BİLGİ İÇİN:Telefonu Göster";Atatürk;14-10-2024;2. Kat;3 Katlı;Sıfır Bina;1 + 1;/ 50 m2;Eşyalı Değil;;
BUCA KONFORUN ADRESİ;200 TL;"EVİNİZ KADAR RAHAT TEMİZ GÜVENİLİR
BAYRAMLARDA YEMİN TÖRENLERİNDE FUAR KATILIMLARINIZDA İŞ SEYAHATLERİNİZDE ARKADAŞLARINIZLA
KEYİFLİ VAKİT GEÇİRMEK İSTEDİĞİNİZDE KENDİNİZİ RAHAT HUZURLU VE GÜVENLİ HİSSEDEBİLECEĞİNİZ BİR ORTAM SUNUYORUZ
RESİMLER 100 ORJİNALDİR GELDİĞİNİZDE FARKLI BİR DAİRE İLE KARŞILAŞMAZSINIZ
7/24 REZERVASYON YAPTIRABİLİR DAİREYE GİRİŞ SAĞLAYABİLİRSİNİZ
TEMİZLİK UZMAN EKİBİMİZ TARAFINDAN DETAYLI BİR ŞEKİLDE YAPILMAKTADIR
HAVLU NEVRESİM GİBİ TÜM MALZEMELER GÜNLÜK OLARAK TEMİZLENİP DEĞİŞTİRİLMEKTEDİR";Adatepe;14-10-2024;Ara Kat;2 Katlı;2 Yaşında;2 + 1;/ 50 m2;;;
PARİSADAN SİTE İÇİNDE EŞYALI DGAZLI KLİMALI 3+1 KİRALIK DAİRE;21.000 TL;"DOĞALGAZLI
OTOPARKLI
SİTE İÇİNDE
BUCA KADIN DOĞUM HASTANESİNE 
ÜNİVERSİTEYE KAMPÜSE
TINAZTEPE HASTANESİNE
PAZARYERİNE
ALIŞVERİŞ MERKEZİNE
ULAŞIMA YAKIN BİR YERDEDİR.
AYRINTILI BİLGİ İÇİN LÜTFEN ARAYINIZ..";Yıldız;14-10-2024;7. Kat;7 Katlı;16 Yaşında;3 + 1;/ 120 m2;Eşyalı;;300 TL
SAFİR'DEN Neşet Ertaş Parkı Yanı 1+1 Doğalgazlı Daire;11.500 TL;"ADATEPE MAHALLESİ 
1+1
 NEŞAT ERTAŞ PARKI YANI
 EŞYASIZ & ARA KAT
 DOĞAL GAZLI  
KAMPÜSE YÜRÜME MESAFESİNDE  
KONUM DOĞRU İŞARETLENMİŞTİR.
Dolmuş ve Otobüs Duraklarına 50 Metre
En Çok Güneş Alan GÜNEY CEPHE
   Profesyonel ve   Güleryüzlü   Ekibimizle Haftanın  7 Günü  Hizmetinizdeyiz.";Adatepe;14-10-2024;2. Kat;3 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı Değil;;
MERKEZi LOKASYONDA,KAPALI MUTFAK,ARA KAT, 2+1 KİRALIK DAİRE;21.500 TL;"*DAİREMİZİN KONUMU DOĞRU OLARAK İŞARETLENMİŞTİR.




DETAYLI BİLGİ VE YER GÖRME İÇİN LÜTFEN ARAYINIZ

ÖZKAN YURTSEVER

Telefonu Göster";Kuruçeşme;14-10-2024;2. Kat;3 Katlı;5 Yaşında;2 + 1;/ 80 m2;Eşyalı Değil;;
PARİSADAN EŞYALI TINAZTEPE KAMPÜSE YAKIN KİRALIK 1+1;14.500 TL;"BUCA TINAZTEPE KAMPÜSE YÜRÜME MESAFESİNDE
HASANAĞA BAHÇESİNE YÜRÜME MESAFESİNDE
LÜKS TEMİZ EŞYALI BİR DAİRE
ARAKAT BİR DAİRE
KLİMALI
AYRINTILI BİLGİ İÇİN ARAYINIZ..";Atatürk;14-10-2024;2. Kat;2 Katlı;5 Yaşında;1 + 1;/ 50 m2;Eşyalı;;
ÜÇKUYULAR MEYDAN HASANAĞA BAHÇESİNDE ''1+1'' DGAZ-KLİMALI;15.500 TL;"İZMİR / BUCA / ATATÜRK MAHALLESİ ;
1+1 - 55m2
Doğalgazlı ve Klimalı
Bulaşık Makinası ve Ankastre
Yönetimi Olan, Temiz ve Düzgün Apartmandadır


Dairemiz Konum İtibariyle ;
Kozağaç meydana ve,
Hasanağa Bahçesi'ne çok yakınındadır ,
Buca Batı ve Doğu otobanı yolu üzeri,
Tüm Temel ve Sosyal Olanaklar Yürüme Mesafesindedir.

Firmamız Bu Gayrimenkul'ün Kiralama İşlemlerinde Tek Yetkilidir.
Detaylı Bilgi ve Randevu İçin ;
SERCAN ÇAKIR    |  MERTCAN ÇAKIR
Telefonu Göster    |  Telefonu Göster";Atatürk;14-10-2024;3. Kat;3 Katlı;5 Yaşında;1 + 1;/ 55 m2;Eşyalı Değil;;100 TL
GOLDİA YAPI'DAN KAMPÜS YAKINI KİRALIK EŞYALI 1+1;16.000 TL;DETAYLI BİLGİ İÇİN ARAYINIZ;Adatepe;14-10-2024;Ara Kat;4 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı;Doğalgaz;150 TL
UFUK MAH.3 ODA 1 SALON KLASİK DAİRE;10.500 TL;DAİRE'MİZ UFUK MAHALLESİNDE YER ALMAKTADIR.4 KATLI BİNANIN ,ARAKATINDADIR.GİRİŞİ BAĞIMSIZ MÜSTAKİLDİR.AİLE 'YE KİRAYA VERİLECEKTİR.YIKIK KEMER MERKEZE ÇOK YAKINDIR.KONUM DOĞRU İŞARETLENMİŞTİR,YERİNE ORADAN BAKABİLİRSİNİZ.;Ufuk;13-10-2024;Ara Kat;4 Katlı;35 Yaşında;3 + 1;/ 110 m2;Eşyalı Değil;Elektrik;10 TL
ATA EMLAKTAN LALELİ MAHALLESİ VALİ RAHMİ BEY OKULU YAKINI 2+1DAİRE;12.000 TL;MENDERES CADDESİNE, VALİ RAHMİ BEY OKULUNA, YÜRÜME MESAFESİNDE DOGALGAZSIZ 2+1 DAİRE DETAYLI BİLGİ İCİN ARAYABİLRİSİNİZ.;Laleli;14-10-2024;4. Kat;4 Katlı;27 Yaşında;2 + 1;/ 80 m2;Eşyalı Değil;Elektrik;100 TL
Şirinyer Hürriyet Mahallesinde 2+1 Eşyalı Kiralık Daire;20.000 TL;Şirinyer Hürriyet Mahallesinde 2+1 Açık Mutfaklı Eşyalı Doğalgazlı 7Yıllık Kiralık Daire;Hürriyet;14-10-2024;Ara Kat;3 Katlı;4 Yaşında;2 + 1;/ 65 m2;Eşyalı;Doğalgaz;50 TL
KAMPÜSE ÇOK YAKIN EŞYALI 1 + 1;17.500 TL;Merkezi konumda, kampüse çok yakın, hastaneye yakın, caddeye bakan, ful eşyalı, açık otoparklı, asansör ile üçüncü katta bulunan dairemiz öğrenciye uygundur.;Kuruçeşme;13-10-2024;Ara Kat;6 Katlı;5 Yaşında;1 + 1;/ 45 m2;Eşyalı;Doğalgaz;500 TL
Remax Karakaya’dan Oyak Buca 2.Etap 3+1 Kiralık Daire;39.000 TL;"* Ailenizle birlikte yaşarken içinde mutlu olacağınız, kaliteli işçilik ve malzemelerden yapılmış Özel güvenlikli sitemli ve Havuzlu Oyak Buca 2.etap konutlarında Kiralık 3+1 Daire
* Sitedeki Havuz ve denizi gören dairelerindendir. Dairenin önü açıktır.
* Salon ve diğer iki odanın önü açıktır.
* Sitede 7/24 kamera sistemleri olup, İki adet yüzme havuzu, spor salonu, marketi ve çocuk oyun alanlarıyla harika bir görünüme ve yaşam alanına sahiptir.
* Site içinde marketi ve her iki havuzun kenarında kafeteryalar bulunmaktadır.
* Belediye otobüsü ve minibüsler Sitenin önünden geçmektedir.
* Tınaztepe Üniversitesi sitenin hemen bitişiğindedir.
İmkanlar olarak Toki konutlarının olduğu mevkide ilkokul, ortaokul ve liseye ilaveten sağlık ocağı bulunmakta. Ayrıca yine ev ihtiyaçlarınızı giderebilecek büyük bir market ve eczane gibi kolaylık tesisleri mevcut.
Evin özellikleri
Akıllı ev sistemi
7/24 kameralarla izlenebilen tam güvenlik
Sıcak su sistemi için güneş kollektörleri : Vaillant
Merkezi Doğalgazlı Isıtma ; Mutfakta Ayrıca Doğalgaz
Merkezi Sistem Sıcak ve Soğuk Su 
Merkezi Sistem Su Arıtma
Çift kat mantolama sistemi
Klima: Toshiba
TV-Uydu sistemi
Jeneratör sistemi
Yangın alarm sistemi
Merkezi su arıtma sistemi
Özel kabinli çift asansör
Dekoratif çelik kapı
Merkezi doğalgazlı kalorimetre sistemli
Ebeveyn Banyosu
Vitrifiyeler Kale, Bataryalar Banyo dolapları Kale
Ankastre ocak, fırın, davlumbaz ve Blaşık makinası : Teka
   BÖYLE KULLANIŞLI BİR SİTEDE KİRALIK DAİREYE İHTİYACINIZ VARSA
  ** HEMEN BENİ ARAYIN.**";Aydoğdu;12-10-2024;8. Kat;9 Katlı;7 Yaşında;3 + 1;/ 127 m2;Eşyalı Değil;Doğalgaz;2.130 TL
SAYGIN GAYRİMENKUL DEN ÜÇKUYULAR MEYDANINDA BALKONLU KLİMALI 2+1 EŞYALI KİRALIK DAİRE;20.000 TL;"SAYGIN GAYRİMENKUL DEN
BUCA ATATÜRK MAHALLESİNDE
ÜÇKUYULAR MEYDANINA ( 2 DAKİKALIK YÜRÜME MESAFESİNDE )
DOKUZ EYLÜL ÜNİVERSİTESİNE DE YÜRÜME MESAFESİNDE
HASAN AĞA BAHÇESİNE YÜRÜME MESAFESİNDE

2+1
Kapalı Mutfak
Eşyalı
Klimalı
Balkonlu
Yeni Boyalı
Yeni Eşyalı

Dokuz Eylül Kampüsüne çok yakın konumdadır, Üçkuyular Meydanına, Hasanağa Bahçesine çok yakın ve yürüme mesafesindedir, Otobüs duraklarına ve dolmuşların güzergâhında bulunan, ayrıca semt pazarı, park, sağlık ocağına yürüme mesafesindedir
Merkezi lokasyonda yer alan dairemiz temel ihtiyaçlarınızı kolayca karşılayabileceğiniz işletmelere yürüme mesafesinde olduğu için sizlere hem zaman hemde enerji tasarrufu sağlayacaktır.

KONUM DOĞRU İŞARETLENMİŞTİR.

DETAYLI BİLGİ VE GÖRMEK İÇİN LÜTFEN ARAYINIZ

Erdoğan TOK
Telefonu Göster
Telefonu Göster";Atatürk;09-10-2024;En Üst Kat;2 Katlı;25 Yaşında;2 + 1;/ 89 m2;Eşyalı;Elektrik;1 TL
BUCA MURATHAN MH EVKA-1 VE YEDİ GÖLLER YAKINI MÜSTAKİL DUBLEX 4+1 150M2 DOĞALGAZLI KİRALIK EV;30.000 TL;"DAİREMİZ BUCA MURATHAN MAHALLESİNDE CADDEYE OKULA DURAĞA MARKETE HASTANEYE YÜRÜYÜŞ MESAFESİNDE    150    M2   KARANLIK ODASI OLMAYAN DOĞALGAZLI

KİRALIK MÜSTAKİL EV
AÇIK OTOPARK  
DOĞALGAZ
ÇELİK KAPI
AMERİKAN KAPI
KARTONPİER
LAMİNAT PARKE
PİMAPEN
HAZIR MUTFAK
DUŞAKABİN  
HİLTON BANYO
İKİNCİ BANYO MEVCUT
GÖMME DOLAP
ÇİFT WC
DEMİR FERFORJE KORKULUK
KİLER
  ÖĞRETMEN EMLAK İLANLARIMIZ GÜNCELDİR
ÖĞRETMEN EMLAK KAYIT NO 409  BU NUMARAYI NOT EDİNİZ

Gayrimenkulde Güvenilir Adres…﻿  

OFİS ADRESİMİZ: Reis Mh. Ordu Cd. 44/B 35160 Karabağlar/İzmir

TÜM EV İLANLARIMIZA ULAŞMAK İÇİN:

https://www.hepsiemlak.com/emlak-ofisi/ogretmen-emlak-23746

DAİREMİZ HAKKINDA DETAYLI BİLGİ ALMAK İÇİN İLETİŞİME GEÇİNİZ
0 (533) 326 75 55 - 0 Telefonu Göster

ŞİRKET YETKİ BELGESİ NO
3502470
ŞİRKET YETKİLİSİ
MİMAR SALİH SOYSAL";Murathan;10-10-2024;;1 Katlı;25 Yaşında;4 + 1;/ 130 m2;Eşyalı Değil;Doğalgaz;
3+1 BUCA BELEDİYE YAKINI 130M2 ARAKAT KÖŞE KİRALIK DAİRE;20.000 TL;"MENDERES MAHALLESİ / 157-1 SOKAK / BUCA
·       130M2 BRÜT
·       125M2 NET
·       3 ODA
·       1 SALON
·       1 BANYO
·       AÇIK MUTFAK
·       KÖŞE
·       PANJUR
·       OTOPARK
·       MENDERES CADDESİ’NE 250MT BUCA BELEDİYE’YE 300MT MESAFEDE
·       OKULLAR BÖLGESİ
·       OTOBÜS MİNİBÜS HASTAHANE ALIŞ VERİŞ VE EĞLENCE MERKEZLERİ’NE YÜRÜME MESAFESİN’DE
·       20.000TL";Menderes;14-10-2024;Ara Kat;3 Katlı;25 Yaşında;3 + 1;/ 125 m2;Eşyalı Değil;;
VOLKAN EMLAKTAN BUCA PARK ORMAN EVLERİ (TOKİ 1.ETAP EVLERİ) 3+1;23.000 TL;"VOLKAN EMLAKTAN BUCA PARK ORMAN EVLERİNDE (EVKA1 TOKİ 1.ETAP EVLERİNDE) 3+1
#DAİREMİZ YÜKSEK GİRİŞ OLMASINA RAĞMEN KOT FARKINDAN 
DOLAYI 2.KAT GİBİDİR ALTINDA BİR DAİRE DAHA VARDIR
#DAİREMİZ MERKEZİ SİSTEM ISI PAY ÖLÇERLİ ISITMALIDIR
#TOPLU ULAŞIMA YÜRÜME MESAFESİNDEDİR
#VOLKAN AKÇAY EMLAK";Aydoğdu;09-10-2024;Yüksek Giriş;7 Katlı;15 Yaşında;3 + 1;/ 110 m2;Eşyalı Değil;Doğalgaz;575 TL
